date,actual
2019-01-01 00:00:00,5.6
2019-02-01 00:00:00,7.2
2019-03-01 00:00:00,10.6
2019-04-01 00:00:00,13.6
2019-05-01 00:00:00,20.0
2019-06-01 00:00:00,21.8
2019-07-01 00:00:00,24.1
2019-08-01 00:00:00,28.4
2019-09-01 00:00:00,25.1
2019-10-01 00:00:00,19.4
2019-11-01 00:00:00,13.1
2019-12-01 00:00:00,8.5
