date,actual
2019-01-01 00:00:00,6.5
2019-02-01 00:00:00,7.8
2019-03-01 00:00:00,10.6
2019-04-01 00:00:00,14.6
2019-05-01 00:00:00,21.0
2019-06-01 00:00:00,23.7
2019-07-01 00:00:00,26.5
2019-08-01 00:00:00,29.1
2019-09-01 00:00:00,26.6
2019-10-01 00:00:00,20.7
2019-11-01 00:00:00,14.2
2019-12-01 00:00:00,9.5
